"year","creditorEntity","debtorCountry","series","data"
1990,"001","AFG","DT.INR.DPPG",NA
1991,"001","AFG","DT.INR.DPPG",NA
1992,"001","AFG","DT.INR.DPPG",NA
1993,"001","AFG","DT.INR.DPPG",NA
1994,"001","AFG","DT.INR.DPPG",NA
1995,"001","AFG","DT.INR.DPPG",NA
1996,"001","AFG","DT.INR.DPPG",NA
1997,"001","AFG","DT.INR.DPPG",NA
1998,"001","AFG","DT.INR.DPPG",NA
1999,"001","AFG","DT.INR.DPPG",NA
2000,"001","AFG","DT.INR.DPPG",NA
2001,"001","AFG","DT.INR.DPPG",NA
2002,"001","AFG","DT.INR.DPPG",NA
2003,"001","AFG","DT.INR.DPPG",NA
2004,"001","AFG","DT.INR.DPPG",NA
2005,"001","AFG","DT.INR.DPPG",NA
2006,"001","AFG","DT.INR.DPPG",NA
2007,"001","AFG","DT.INR.DPPG",NA
2008,"001","AFG","DT.INR.DPPG",NA
2009,"001","AFG","DT.INR.DPPG",NA
2010,"001","AFG","DT.INR.DPPG",NA
2011,"001","AFG","DT.INR.DPPG",NA
2012,"001","AFG","DT.INR.DPPG",NA
2013,"001","AFG","DT.INR.DPPG",NA
2014,"001","AFG","DT.INR.DPPG",NA
2015,"001","AFG","DT.INR.DPPG",NA
2016,"001","AFG","DT.INR.DPPG",NA
2017,"001","AFG","DT.INR.DPPG",NA
2018,"001","AFG","DT.INR.DPPG",NA
2019,"001","AFG","DT.INR.DPPG",NA
2020,"001","AFG","DT.INR.DPPG",NA
2021,"001","AFG","DT.INR.DPPG",NA
2022,"001","AFG","DT.INR.DPPG",NA
2023,"001","AFG","DT.INR.DPPG",NA
1990,"002","AFG","DT.INR.DPPG",NA
1991,"002","AFG","DT.INR.DPPG",NA
1992,"002","AFG","DT.INR.DPPG",NA
1993,"002","AFG","DT.INR.DPPG",NA
1994,"002","AFG","DT.INR.DPPG",NA
1995,"002","AFG","DT.INR.DPPG",NA
1996,"002","AFG","DT.INR.DPPG",NA
1997,"002","AFG","DT.INR.DPPG",NA
1998,"002","AFG","DT.INR.DPPG",NA
1999,"002","AFG","DT.INR.DPPG",NA
2000,"002","AFG","DT.INR.DPPG",NA
2001,"002","AFG","DT.INR.DPPG",NA
2002,"002","AFG","DT.INR.DPPG",NA
2003,"002","AFG","DT.INR.DPPG",NA
2004,"002","AFG","DT.INR.DPPG",NA
2005,"002","AFG","DT.INR.DPPG",NA
2006,"002","AFG","DT.INR.DPPG",NA
2007,"002","AFG","DT.INR.DPPG",NA
2008,"002","AFG","DT.INR.DPPG",NA
2009,"002","AFG","DT.INR.DPPG",NA
2010,"002","AFG","DT.INR.DPPG",NA
2011,"002","AFG","DT.INR.DPPG",NA
2012,"002","AFG","DT.INR.DPPG",NA
2013,"002","AFG","DT.INR.DPPG",NA
2014,"002","AFG","DT.INR.DPPG",NA
2015,"002","AFG","DT.INR.DPPG",NA
2016,"002","AFG","DT.INR.DPPG",NA
2017,"002","AFG","DT.INR.DPPG",NA
2018,"002","AFG","DT.INR.DPPG",NA
2019,"002","AFG","DT.INR.DPPG",NA
2020,"002","AFG","DT.INR.DPPG",NA
2021,"002","AFG","DT.INR.DPPG",NA
2022,"002","AFG","DT.INR.DPPG",NA
2023,"002","AFG","DT.INR.DPPG",NA
1990,"003","AFG","DT.INR.DPPG",NA
1991,"003","AFG","DT.INR.DPPG",NA
1992,"003","AFG","DT.INR.DPPG",NA
1993,"003","AFG","DT.INR.DPPG",NA
1994,"003","AFG","DT.INR.DPPG",NA
1995,"003","AFG","DT.INR.DPPG",NA
1996,"003","AFG","DT.INR.DPPG",NA
1997,"003","AFG","DT.INR.DPPG",NA
1998,"003","AFG","DT.INR.DPPG",NA
1999,"003","AFG","DT.INR.DPPG",NA
2000,"003","AFG","DT.INR.DPPG",NA
2001,"003","AFG","DT.INR.DPPG",NA
2002,"003","AFG","DT.INR.DPPG",NA
2003,"003","AFG","DT.INR.DPPG",NA
2004,"003","AFG","DT.INR.DPPG",NA
